death,blackd,whitvic,serious,culp,serious2,slogs
0,1,1,4.9,1,2.2,7.7872525051
0,0,0,12,2,4.6,29.818879797
0,1,0,11,3,4.6,26.376848001
0,1,1,8.9,1,3.6,19.455856363
1,1,1,13,1,4.4,33.344341647
1,1,0,11.6,1,4.4,28.431659138
1,0,1,13.4,3,4.4,34.776413073
0,1,0,10.5,3,4,24.6894402
1,1,1,13.7,5,4.8,35.85832291
0,0,1,5.3,1,2.2,8.838846149
1,0,1,5.7,5,3,9.9206571966
0,0,1,10.6,2,4,25.025052412
1,1,1,3.9,3,2.4,5.3078085572
1,1,1,9.3,5,4.4,20.739133921
